Education,JoiningYear,City,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
PHD,2018,Bangalore,26,Male,No,4,1,99826.26
Bachelors,2016,Bangalore,31,Female,No,0,0,80444.04
Bachelors,2014,Bangalore,27,Male,No,5,1,105633.38
Bachelors,2014,Bangalore,29,Female,No,0,0,88018.92
Bachelors,2015,Bangalore,24,Female,No,2,1,64115.28
Masters,2012,Pune,25,Male,No,3,1,87899.59
Bachelors,2013,Pune,25,Male,No,3,0,73486.72
Masters,2017,New Delhi,26,Female,No,4,1,87338.89
Bachelors,2015,Pune,28,Female,Yes,1,1,57917.72
Bachelors,2017,New Delhi,28,Male,No,2,0,86036.3
Masters,2015,Pune,28,Female,No,3,1,34260.81
Masters,2015,New Delhi,25,Male,No,3,0,79718.45
Bachelors,2017,Bangalore,28,Male,No,1,0,86191.59
Masters,2013,Pune,25,Male,No,3,0,93980.25
Bachelors,2015,Bangalore,25,Female,No,3,1,45183.49
Bachelors,2015,Bangalore,27,Female,No,5,0,78967.29
Bachelors,2017,Pune,27,Female,No,5,1,51507.67
Bachelors,2013,Bangalore,27,Male,No,5,1,79303.26
Bachelors,2012,Bangalore,25,Male,No,3,0,80563.17
Masters,2017,New Delhi,28,Male,No,2,0,55000.9
Bachelors,2014,Pune,26,Female,No,4,1,33486.22
Bachelors,2015,Bangalore,28,Male,No,2,0,75903.36
Masters,2013,New Delhi,26,Male,No,4,0,74105.01
Bachelors,2017,Bangalore,26,Female,No,4,0,47994.59
Bachelors,2017,New Delhi,25,Male,No,3,0,45493.3
Bachelors,2012,Bangalore,28,Female,No,3,0,28468.1
PHD,2015,New Delhi,26,Male,No,4,0,85237.25
Bachelors,2015,New Delhi,25,Female,No,3,0,95155.69
Bachelors,2012,Bangalore,26,Male,No,4,1,76616.53
Bachelors,2014,Bangalore,28,Female,No,3,0,94994.01
Masters,2014,Pune,24,Male,No,2,0,84172.61
Bachelors,2013,Bangalore,28,Male,No,1,0,93420.28
Bachelors,2015,Pune,27,Male,No,5,0,72469.82
Bachelors,2018,Bangalore,25,Male,No,3,1,82619.8
Masters,2013,Pune,24,Male,No,2,1,24451.23
Bachelors,2017,Bangalore,26,Female,No,4,0,84227.78
Bachelors,2013,Bangalore,28,Male,No,1,1,62964.82
Masters,2016,New Delhi,27,Male,No,5,0,93170.55
Masters,2017,Bangalore,26,Male,No,4,0,78956.29
Masters,2017,New Delhi,24,Male,No,2,0,46803.68
Masters,2018,New Delhi,26,Male,No,4,1,95133.79
Masters,2017,New Delhi,25,Female,No,3,1,37461.95
Bachelors,2012,Pune,28,Male,No,2,0,113585.69
Bachelors,2017,New Delhi,28,Male,No,2,0,107631.11
Bachelors,2013,Bangalore,26,Male,No,4,0,78291.17
Masters,2013,New Delhi,27,Male,No,5,1,97662.18
Bachelors,2017,Pune,24,Female,No,2,1,42054.47
Bachelors,2017,New Delhi,28,Female,No,2,0,97619.44
Bachelors,2016,Bangalore,26,Male,No,4,0,81520.46
Bachelors,2013,Bangalore,27,Female,No,5,0,95627.71
Masters,2015,Pune,28,Female,No,3,0,60235.4
Bachelors,2014,Bangalore,25,Male,No,3,0,70672.18
Bachelors,2016,Pune,28,Male,No,1,0,77005.82
Masters,2013,Bangalore,25,Male,No,3,1,43400.22
Bachelors,2015,Pune,26,Male,No,4,0,99569.01
Bachelors,2018,New Delhi,27,Female,No,5,1,70066.91
Bachelors,2016,Bangalore,24,Male,No,2,1,45013.72
Bachelors,2012,Pune,24,Female,No,2,1,44220.97
Bachelors,2014,Bangalore,26,Male,No,4,0,66152.43
Bachelors,2016,Pune,24,Female,No,2,1,54461.19
Masters,2012,New Delhi,26,Female,No,4,0,84723.66
Bachelors,2013,Bangalore,28,Female,No,3,0,67821.86
Bachelors,2012,Bangalore,24,Male,No,2,1,84097.53
Bachelors,2015,Bangalore,25,Male,No,3,1,115553.83
Bachelors,2016,Bangalore,28,Male,No,3,0,90090.46
Bachelors,2014,Bangalore,28,Female,No,3,0,58240.5
Bachelors,2013,Bangalore,26,Female,No,4,0,57203.47
Masters,2017,New Delhi,24,Female,No,2,1,84584.72
Bachelors,2016,Bangalore,25,Male,No,3,1,74175.08
Bachelors,2015,Bangalore,25,Male,No,3,0,75875.02
Bachelors,2014,Bangalore,27,Male,No,5,0,67127.7
Bachelors,2012,Bangalore,24,Male,No,2,0,86995.98
Bachelors,2014,Bangalore,25,Male,No,3,0,83525.88
Bachelors,2015,Bangalore,28,Male,No,3,0,92702.9
Masters,2015,New Delhi,26,Male,No,4,1,93348.67
Bachelors,2014,New Delhi,28,Female,No,1,0,74705.22
Bachelors,2015,Pune,25,Male,No,3,0,70115.66
Masters,2015,Pune,28,Female,No,2,0,57201.87
Bachelors,2014,Bangalore,27,Female,No,5,0,56533.86
Bachelors,2013,Bangalore,26,Male,No,4,0,98498.26
Bachelors,2016,Bangalore,26,Male,No,4,0,94518.74
Bachelors,2012,Bangalore,25,Male,No,3,0,92449.09
Bachelors,2015,Bangalore,25,Male,No,3,0,82303.61
Bachelors,2014,New Delhi,24,Female,No,2,0,99679.27
Bachelors,2012,Bangalore,27,Male,No,5,1,69968.87
Masters,2017,New Delhi,27,Male,No,5,1,86556.75
Bachelors,2015,Pune,27,Male,No,5,0,79881.73
Bachelors,2018,Bangalore,24,Male,No,2,1,88661.89
Masters,2017,New Delhi,27,Male,No,5,1,53587.52
Masters,2017,New Delhi,28,Female,No,1,1,44011.13
Masters,2017,Pune,24,Male,No,2,1,51021.73
Masters,2016,New Delhi,25,Female,No,3,1,77812.32
PHD,2015,New Delhi,28,Female,No,1,0,69008.65
Bachelors,2017,New Delhi,26,Male,No,4,0,46383.69
Bachelors,2013,Bangalore,27,Male,No,5,0,57513.27
Bachelors,2015,Bangalore,26,Male,No,4,0,92140.04
Bachelors,2015,Bangalore,26,Male,No,4,0,69794.13
Bachelors,2013,Bangalore,28,Male,No,1,0,83142.34
Bachelors,2015,Bangalore,27,Female,No,5,0,75358.08
Bachelors,2013,New Delhi,25,Female,No,3,0,77708.21
Bachelors,2013,Pune,28,Male,No,1,0,79808.46
Bachelors,2017,Pune,24,Male,No,2,0,75403.83
Bachelors,2013,New Delhi,27,Female,No,5,0,64875.51
Bachelors,2015,Bangalore,28,Male,Yes,2,0,75469.58
Bachelors,2015,Pune,28,Male,No,3,0,62778.72
Bachelors,2014,Pune,25,Female,No,3,1,51062.83
Bachelors,2014,Bangalore,25,Male,No,3,0,93634.15
Bachelors,2017,Bangalore,27,Male,No,5,0,80035.87
Bachelors,2014,Pune,26,Female,No,4,1,56915.54
PHD,2013,New Delhi,24,Male,No,2,0,108708.98
Bachelors,2015,Pune,26,Female,No,4,1,41973.05
Bachelors,2017,Bangalore,25,Male,No,3,0,85666.06
Masters,2013,Pune,27,Male,No,5,1,46321.79
Masters,2017,Bangalore,28,Male,No,2,0,84725.88
Bachelors,2012,Bangalore,25,Male,No,3,1,77620.41
Bachelors,2017,Bangalore,27,Male,No,5,0,55129.28
Masters,2017,Pune,27,Female,No,5,0,31573.35
Masters,2013,Bangalore,28,Female,No,2,1,47611.0
Masters,2017,Pune,28,Male,No,1,1,59174.66
Bachelors,2018,Bangalore,27,Female,No,5,1,69492.66
Bachelors,2014,New Delhi,25,Female,No,3,0,77418.39
Masters,2017,New Delhi,27,Male,No,5,1,79177.74
Masters,2013,New Delhi,26,Male,No,4,1,85901.73
Bachelors,2013,Pune,25,Female,No,3,1,57026.59
Masters,2012,New Delhi,26,Male,No,4,1,81666.12
Bachelors,2016,Bangalore,25,Male,No,3,1,74314.5
Bachelors,2013,Pune,26,Male,No,4,0,55263.96
Bachelors,2018,Bangalore,28,Female,No,2,1,87495.29
Bachelors,2013,Bangalore,27,Male,No,5,0,70229.9
Bachelors,2015,Pune,24,Female,Yes,2,1,37227.63
Bachelors,2013,Pune,28,Male,No,2,0,99686.92
Bachelors,2015,Pune,27,Female,Yes,5,1,52819.24
Bachelors,2018,Bangalore,25,Male,No,3,1,86788.75
Bachelors,2014,Pune,27,Female,No,5,1,46722.28
Bachelors,2013,Pune,24,Male,No,2,0,69338.2
Bachelors,2014,Pune,24,Male,No,2,0,80918.87
PHD,2015,New Delhi,25,Female,No,3,0,33518.48
Bachelors,2014,Bangalore,26,Male,Yes,4,0,93304.22
Bachelors,2018,Bangalore,24,Male,No,2,1,68260.11
Masters,2015,Pune,25,Female,No,3,0,33675.31
Bachelors,2015,Bangalore,24,Male,No,2,0,93148.32
Bachelors,2014,New Delhi,24,Female,No,2,0,68937.19
Masters,2017,Bangalore,26,Female,No,4,1,46485.46
Bachelors,2012,New Delhi,28,Male,No,1,0,76710.46
Masters,2017,Pune,26,Female,No,4,0,57420.75
Bachelors,2016,Pune,25,Male,No,3,0,54139.07
Bachelors,2017,New Delhi,24,Male,No,2,1,83035.57
Bachelors,2013,Pune,28,Female,No,3,1,55093.53
Bachelors,2014,Bangalore,25,Female,No,3,1,88452.8
Bachelors,2014,Bangalore,25,Male,No,3,0,55960.03
Bachelors,2014,Pune,24,Female,No,2,1,57432.86
Bachelors,2015,Bangalore,28,Male,No,2,1,101192.27
Bachelors,2015,Bangalore,27,Male,No,5,0,74578.36
Bachelors,2016,Pune,26,Male,No,4,0,96844.91
Masters,2015,New Delhi,26,Female,No,4,1,81812.01
Bachelors,2016,Bangalore,28,Female,No,2,0,37936.68
Bachelors,2014,Bangalore,25,Male,Yes,3,0,66647.7
Bachelors,2014,Bangalore,27,Male,No,5,0,93049.84
Bachelors,2017,Bangalore,28,Male,No,2,0,72691.69
Masters,2018,New Delhi,24,Female,Yes,2,1,78013.8
Bachelors,2017,Pune,25,Male,No,3,0,53071.72
Bachelors,2018,Pune,24,Female,No,2,1,58810.7
Masters,2017,New Delhi,28,Female,No,1,0,42724.65
Bachelors,2013,New Delhi,27,Female,No,5,0,32003.24
Bachelors,2017,New Delhi,27,Female,No,5,0,40724.84
Bachelors,2017,Bangalore,28,Male,No,1,0,101575.99
Bachelors,2016,Pune,27,Female,No,5,1,50566.07
Masters,2018,Bangalore,24,Male,No,2,1,80733.82
Bachelors,2012,Pune,26,Male,No,4,0,26443.31
Bachelors,2016,Bangalore,26,Male,No,4,0,83837.92
Masters,2016,New Delhi,27,Male,No,5,0,29896.82
Bachelors,2015,New Delhi,26,Female,No,4,0,73872.4
Bachelors,2012,Bangalore,27,Male,Yes,5,0,60324.0
Bachelors,2013,Bangalore,24,Male,Yes,2,1,79328.14
Bachelors,2018,Bangalore,26,Female,No,4,1,83912.47
Masters,2017,Pune,26,Female,No,4,1,51239.54
Masters,2017,New Delhi,28,Female,No,2,0,45676.73
Bachelors,2013,Pune,28,Male,No,1,0,88412.12
Masters,2013,New Delhi,25,Male,No,3,0,105756.22
Bachelors,2018,Bangalore,28,Female,Yes,1,1,90277.16
Bachelors,2013,Pune,27,Female,No,5,1,84020.42
Bachelors,2012,Bangalore,25,Male,No,3,0,92444.47
Bachelors,2014,Bangalore,28,Male,No,1,0,85405.03
Bachelors,2017,New Delhi,28,Female,No,3,0,99639.2
Masters,2017,New Delhi,28,Male,Yes,2,0,56920.93
Bachelors,2014,Bangalore,25,Male,No,3,0,63737.91
Masters,2017,New Delhi,26,Male,No,4,0,66824.0
Bachelors,2015,Pune,25,Female,No,3,1,28765.91
Masters,2013,New Delhi,27,Male,No,5,0,62064.07
PHD,2014,Bangalore,24,Female,No,2,0,82774.38
Masters,2017,New Delhi,27,Female,No,5,0,52085.24
Bachelors,2018,Bangalore,26,Male,No,4,1,75135.28
Bachelors,2012,Bangalore,26,Male,No,4,0,91590.19
Masters,2015,Pune,27,Female,No,5,1,48564.85
Bachelors,2018,Bangalore,26,Male,No,4,1,125479.03
Bachelors,2016,Bangalore,24,Male,No,2,0,63721.55
Masters,2017,New Delhi,25,Female,No,3,0,49908.43
Bachelors,2017,New Delhi,28,Male,No,1,0,44470.87
Bachelors,2012,New Delhi,27,Female,No,5,0,78520.78
Masters,2013,New Delhi,26,Male,No,4,1,54264.8
Bachelors,2015,Bangalore,26,Female,Yes,4,1,94856.42
Bachelors,2014,Pune,28,Male,No,2,0,77109.88
Bachelors,2016,Bangalore,24,Female,No,2,1,64529.43
Bachelors,2012,Bangalore,28,Male,No,3,0,94135.91
Bachelors,2012,Bangalore,27,Male,No,5,0,73863.42
Bachelors,2013,Bangalore,26,Male,No,4,0,67555.0
Bachelors,2014,New Delhi,28,Female,No,1,0,93592.85
Bachelors,2014,New Delhi,27,Female,Yes,5,0,72976.09
Bachelors,2015,Pune,26,Female,Yes,4,1,79535.92
Masters,2014,New Delhi,26,Male,No,4,1,62829.08
PHD,2015,New Delhi,25,Female,No,3,0,84877.77
Masters,2015,New Delhi,25,Male,No,3,0,84529.02
Bachelors,2012,Pune,27,Male,No,5,0,66291.1
Masters,2017,New Delhi,24,Female,No,2,0,41369.82
Bachelors,2016,Bangalore,24,Male,No,2,0,73658.0
Masters,2015,Pune,28,Female,No,2,0,73299.56
Bachelors,2017,Bangalore,24,Female,No,2,0,88860.39
Bachelors,2017,Pune,25,Male,No,3,0,91644.08
Bachelors,2017,Bangalore,25,Male,No,3,0,34915.16
Masters,2015,Pune,28,Female,No,2,0,63086.92
Bachelors,2017,Pune,26,Male,No,4,0,91866.31
Bachelors,2014,Pune,24,Male,No,2,0,87020.04
Bachelors,2014,Pune,25,Female,No,3,1,65498.52
Bachelors,2018,Pune,26,Female,No,4,1,87159.62
Bachelors,2016,Bangalore,27,Male,No,5,0,87718.07
Bachelors,2017,Bangalore,28,Female,No,2,0,101650.37
Bachelors,2012,Pune,28,Male,No,2,0,81177.45
Masters,2012,New Delhi,24,Female,No,2,1,79341.66
Bachelors,2013,Bangalore,26,Male,No,4,0,63281.69
Bachelors,2015,New Delhi,26,Female,Yes,4,0,85228.75
Bachelors,2017,Bangalore,28,Male,No,1,0,73326.08
Bachelors,2018,Pune,25,Male,Yes,3,1,75874.08
Masters,2017,New Delhi,24,Male,No,2,0,72637.47
Bachelors,2013,Bangalore,28,Male,No,2,1,99447.14
Bachelors,2017,Bangalore,24,Male,No,2,0,80339.22
Masters,2017,New Delhi,25,Female,No,3,1,52592.71
Bachelors,2013,Pune,28,Female,No,1,1,56164.26
Bachelors,2015,Bangalore,24,Female,No,2,0,86746.97
Bachelors,2016,Pune,26,Male,No,4,0,59792.82
Bachelors,2015,New Delhi,27,Female,No,5,1,37275.48
Bachelors,2018,Bangalore,24,Female,No,2,1,77740.84
Bachelors,2013,Bangalore,27,Female,No,5,0,80441.36
Bachelors,2013,Bangalore,24,Male,Yes,2,0,92625.2
Bachelors,2013,Bangalore,24,Female,No,2,0,93567.47
Bachelors,2013,Bangalore,27,Male,No,5,0,77837.97
Bachelors,2017,Bangalore,26,Female,No,4,0,68957.72
Bachelors,2015,Bangalore,24,Female,No,2,0,79565.12
Bachelors,2012,Pune,24,Female,No,2,1,86517.36
Bachelors,2016,Bangalore,24,Male,Yes,2,1,96686.8
Bachelors,2012,Bangalore,28,Male,No,3,0,76892.82
Bachelors,2017,New Delhi,27,Male,No,5,0,51624.84
Bachelors,2012,Pune,27,Female,No,5,1,50783.13
Masters,2017,Pune,27,Male,No,5,0,41067.61
Bachelors,2017,Pune,24,Male,No,2,1,53834.57
Bachelors,2016,Pune,26,Female,No,4,1,30605.83
Bachelors,2015,Pune,26,Female,No,4,1,53902.18
Bachelors,2016,Bangalore,25,Male,No,3,1,75974.36
Bachelors,2012,Pune,26,Male,No,4,0,62710.96
Bachelors,2017,Bangalore,28,Male,No,2,0,88396.41
Bachelors,2012,Bangalore,25,Male,No,3,0,96923.38
Bachelors,2017,Bangalore,25,Female,Yes,3,0,61608.38
Masters,2017,Pune,26,Male,No,4,0,41932.13
Masters,2017,Pune,28,Male,No,1,1,76915.69
Masters,2015,Pune,25,Female,No,3,1,41740.59
Bachelors,2017,New Delhi,26,Female,No,4,0,51303.49
Bachelors,2017,New Delhi,26,Male,No,4,0,57842.97
Bachelors,2016,Bangalore,27,Male,No,5,0,46701.11
Bachelors,2017,New Delhi,27,Female,No,5,0,63365.86
Bachelors,2015,New Delhi,24,Female,No,2,0,106595.77
Masters,2017,Bangalore,26,Female,No,4,1,23743.79
Bachelors,2017,New Delhi,28,Female,No,2,0,40257.53
Bachelors,2015,Bangalore,24,Male,No,2,0,73457.66
Masters,2015,Pune,25,Female,No,3,1,45890.85
Bachelors,2014,Bangalore,25,Female,No,3,0,89892.33
Bachelors,2014,Bangalore,28,Male,No,2,0,78148.22
Bachelors,2017,Bangalore,28,Male,No,3,0,75348.91
Masters,2015,New Delhi,27,Male,No,5,0,33390.14
Bachelors,2014,Pune,26,Female,No,4,1,35048.23
Masters,2018,Bangalore,25,Male,Yes,3,1,86965.44
Bachelors,2016,Bangalore,28,Female,No,3,0,75924.07
Bachelors,2018,New Delhi,26,Female,Yes,4,1,97355.83
Bachelors,2015,Pune,24,Female,No,2,1,44149.33
Bachelors,2017,Bangalore,27,Male,Yes,5,0,69827.71
Bachelors,2014,Bangalore,26,Male,No,4,0,106228.72
Bachelors,2014,Bangalore,24,Male,No,2,0,72668.64
Bachelors,2016,Bangalore,28,Male,No,2,0,87025.58
Bachelors,2015,Pune,25,Female,No,3,1,50493.95
Bachelors,2013,Pune,27,Male,No,5,0,82292.27
Bachelors,2015,Bangalore,28,Male,No,3,0,81207.87
Bachelors,2014,Bangalore,26,Male,No,4,0,80325.23
Bachelors,2012,Bangalore,24,Male,No,2,0,76982.44
Bachelors,2013,Bangalore,27,Male,No,5,0,80266.62
Bachelors,2015,Bangalore,26,Female,Yes,4,1,83967.54
Bachelors,2015,Pune,28,Male,No,2,0,91913.24
Bachelors,2014,New Delhi,24,Female,No,2,1,48805.3
Bachelors,2013,Bangalore,24,Male,No,2,0,87194.1
Bachelors,2018,Bangalore,28,Male,Yes,3,1,84309.6
Bachelors,2015,Pune,27,Male,No,5,0,64799.16
Bachelors,2014,Pune,26,Male,No,4,0,53896.1
Bachelors,2016,Bangalore,25,Male,No,3,1,95954.15
PHD,2013,Bangalore,25,Male,No,3,0,76893.99
Bachelors,2014,Bangalore,25,Male,No,3,0,87003.25
Bachelors,2017,New Delhi,28,Female,No,1,0,49887.17
Bachelors,2015,Pune,26,Female,No,4,1,36600.01
Masters,2017,New Delhi,26,Male,Yes,4,1,60654.12
Bachelors,2014,Bangalore,27,Male,No,5,0,86034.58
Bachelors,2012,New Delhi,24,Female,No,2,0,76265.73
Bachelors,2017,New Delhi,24,Male,No,2,0,61957.33
Bachelors,2015,Bangalore,26,Male,No,4,0,86802.25
Bachelors,2012,Bangalore,26,Female,No,4,0,70945.57
Bachelors,2015,Bangalore,24,Male,No,2,0,56248.72
Masters,2014,Pune,25,Male,No,3,0,80413.0
Bachelors,2015,Bangalore,28,Male,No,2,0,72316.56
Bachelors,2016,Pune,24,Male,No,2,0,55581.28
Bachelors,2016,Bangalore,26,Female,No,4,0,67544.49
Bachelors,2015,Pune,25,Female,Yes,3,1,44141.82
Masters,2013,New Delhi,25,Male,No,3,1,41222.46
Bachelors,2017,Pune,25,Male,No,3,0,90285.14
Bachelors,2015,Pune,26,Female,Yes,4,1,48461.73
Masters,2015,Bangalore,26,Female,No,4,1,43831.16
Bachelors,2012,Pune,27,Female,No,5,0,91106.62
Masters,2017,New Delhi,28,Male,Yes,2,0,52665.08
Bachelors,2016,Pune,25,Male,No,3,0,88555.52
Bachelors,2016,Bangalore,24,Male,No,2,0,86570.04
Bachelors,2016,Pune,28,Male,No,1,0,97944.56
Bachelors,2013,New Delhi,27,Female,Yes,5,0,83678.17
Bachelors,2015,New Delhi,26,Male,No,4,0,83092.03
Bachelors,2016,Bangalore,27,Male,No,5,0,96309.29
Bachelors,2017,Pune,27,Male,No,5,0,57630.46
Bachelors,2012,Bangalore,27,Male,No,5,0,93340.8
PHD,2018,New Delhi,25,Male,No,3,1,68235.43
Bachelors,2014,Pune,27,Male,No,5,0,80060.83
Bachelors,2013,Bangalore,26,Female,No,4,0,84596.74
Masters,2017,Pune,24,Female,No,2,1,44314.94
PHD,2016,New Delhi,28,Male,No,3,1,50846.52
Masters,2014,New Delhi,26,Male,No,4,1,87119.12
Masters,2017,New Delhi,27,Male,Yes,5,1,64232.76
PHD,2013,New Delhi,27,Male,No,5,0,82769.11
Masters,2014,New Delhi,28,Female,No,1,0,88340.35
Bachelors,2017,Pune,27,Male,No,5,0,78506.39
Bachelors,2015,Pune,26,Female,Yes,4,1,82206.98
Masters,2014,Bangalore,26,Male,No,4,1,84693.41
Masters,2012,Pune,27,Male,No,5,0,111862.89
Bachelors,2017,Bangalore,26,Male,No,4,0,80843.92
Masters,2017,Pune,27,Male,No,5,1,51452.42
Bachelors,2017,Bangalore,27,Male,No,5,0,88824.08
Bachelors,2016,Bangalore,25,Male,No,3,1,93395.03
Bachelors,2016,Pune,27,Male,Yes,5,0,92041.8
Bachelors,2014,Pune,25,Male,No,3,0,82014.83
Bachelors,2017,Bangalore,28,Male,No,1,0,87410.74
Masters,2012,Pune,24,Male,No,2,0,74594.36
Bachelors,2014,Bangalore,25,Male,Yes,3,0,93984.53
Bachelors,2013,Pune,25,Male,No,3,1,53172.41
Bachelors,2012,Pune,27,Male,No,5,0,93382.83
Bachelors,2017,Bangalore,26,Male,No,4,0,93710.18
Bachelors,2013,Pune,26,Male,No,4,0,96678.1
Bachelors,2016,Bangalore,24,Male,No,2,0,96930.69
Bachelors,2014,Bangalore,25,Female,No,3,0,105710.4
Bachelors,2015,New Delhi,25,Male,No,3,0,98960.94
PHD,2012,Pune,24,Male,No,2,0,76021.14
Bachelors,2013,Bangalore,27,Male,No,5,0,103262.57
Bachelors,2015,Bangalore,25,Male,No,3,0,68854.11
Bachelors,2016,Bangalore,26,Male,No,4,0,63787.25
Masters,2015,New Delhi,24,Female,No,2,0,61811.63
Bachelors,2012,Bangalore,26,Male,No,4,0,90799.34
Bachelors,2013,Pune,24,Male,No,2,0,87584.84
